St1_GRF_X,St1_GRF_Y,St1_GRF_Z,St2_GRF_X,St2_GRF_Y,St2_GRF_Z
-25.0040175449685,12.1753341449256,171.597329533613,-47.9979427865308,13.2118757891281,274.896197202406
-24.8284775029457,12.4346805442565,171.370787118596,-48.539073173486,14.0913771477539,280.527613840959
-24.6538698179426,12.5960805258687,171.335170013043,-49.1297252874413,14.9449351393413,286.714378778633
-24.4859771345881,12.6593919338648,171.530249358211,-49.7734157850892,15.7717430571143,293.467873101436
-24.3295950970276,12.6267356957266,171.988289459068,-50.4728498664902,16.5728625167547,300.784679034279
-24.1878766255668,12.5026122480176,172.730591400428,-51.2306439797818,17.3481187276531,308.65314949119
-24.0627002871375,12.2943381278148,173.767799803678,-52.0516365349295,18.0988707780355,317.054269703079
-23.9555691823145,12.0119733628904,175.10275378127,-52.942144431611,18.8247176152669,325.963803248311
-23.866801259084,11.6662588328033,176.7274014964,-53.9082135877557,19.5232922815308,335.35292941517
-23.7965998315202,11.2695665459486,178.627201439459,-54.9554696864701,20.1941141732018,345.186785468445
-23.745267563582,10.8354913477564,180.782512512133,-56.088019483985,20.8361743960058,355.424535878498
-23.7130188169997,10.377484938217,183.168280515687,-57.3057156404326,21.4476430391132,366.016341049421
-23.7007870490766,9.90856561266846,185.756907152793,-58.6046527955358,22.0265217319327,376.904199160709
-23.7092581820401,9.44232583788417,188.521161628133,-59.9763019599184,22.5691872133262,388.018922536896
-23.7389751562698,8.99185845517703,191.434987200153,-61.4072977691405,23.0732271855801,399.282438629323
-23.7908587666815,8.56886563701593,194.47366234947,-62.8785030715596,23.5373171976679,410.612482444765
-23.8660314757488,8.18551830875472,197.614778529456,-64.3666542744057,23.9602335942227,421.92520776934
-23.9643218530503,7.85189264728158,200.838522333199,-65.8460033505152,24.3430926566196,433.136739329537
-24.0855798193509,7.57696887313522,204.127712232587,-67.28895463927,24.69038314736,444.16526895979
-24.2302667181713,7.3689323052702,207.467736634512,-68.6700817759861,25.0059789678713,454.932692934223
-24.3971397204867,7.23228783923411,210.846181076763,-69.9646781850128,25.2939837474653,465.368235021034
-24.5846631057485,7.17181027926501,214.250625913348,-71.1523280441194,25.5572821702517,475.412849168716
-24.7907624415415,7.18984038427896,217.669904980923,-72.2170489216425,25.7978183354232,485.019135997661
-25.0126825282853,7.2851425672998,221.095221656421,-73.1469192755214,26.0170323565943,494.151857357549
-25.2477598032985,7.45595034243343,224.519710801533,-73.9334861418811,26.2148624129776,502.786957343901
-25.4940466790527,7.69851030511141,227.938032459287,-74.5722695910011,26.3893430586545,510.907986239057
-25.7493178719487,8.00757899301622,231.348107944632,-75.0619978483671,26.5376435570207,518.503268043614
-26.010861814514,8.37722447701827,234.750856589371,-75.4018030289833,26.6566397360308,525.564293817543
-26.2763523748947,8.80141655603273,238.148138034679,-75.5947921758672,26.7432558207473,532.080963028198
-26.5442891968635,9.27421988110712,241.544110321195,-75.64112884092,26.7946976196627,538.040473283491
-26.81339081372,9.78942427059689,244.944367519892,-75.5435689348943,26.812252946079,543.427104593145
-27.0826476039629,10.3407276278851,248.355151734723,-75.3043446816988,26.7993635383569,548.223325857482
-27.3518438185308,10.9219559890839,251.783046513769,-74.9259326130692,26.7611437293084,552.411678009723
-27.6213995458819,11.5258334589894,255.235075130981,-74.4130705005864,26.7031112544085,555.979209739063
-27.8912054063603,12.1455423842025,258.716425295039,-73.7713504204416,26.6294720809008,558.921285298333
-28.1609434667736,12.7751875994842,262.2314537942,-73.0076000831153,26.5440949865819,561.24257170329
-28.4307247076379,13.4094264246447,265.784985972516,-72.1297580600789,26.4477026954015,562.960323331886
-28.700211941607,14.0431618382196,269.37916512316,-71.147604435917,26.3394832141502,564.101372806632
-28.9692182791856,14.6724678563259,273.014875986637,-70.070524083462,26.2180684013296,564.70153818016
-29.2379416927561,15.2943420674263,276.691677417685,-68.907803289328,26.082436391257,564.80314526748
-29.5070361055609,15.9062949700231,280.407521032192,-67.6685703498993,25.9317247094986,564.45503294102
-29.7778180795537,16.5066387773765,284.159763093594,-66.3626524819366,25.7638973046345,563.713254285316
-30.0525031574814,17.093833617922,287.945965702736,-64.9998985888945,25.5763840103977,562.639843393446
-30.334128159187,17.6666449961019,291.764031857601,-63.5891625285,25.36749898725,561.30046645869
-30.6262569962627,18.2239607459196,295.611990281695,-62.1422658450925,25.1340079146949,559.762470551117
-30.9324365174263,18.7637841872758,299.487579685597,-60.6709319455001,24.8718117063639,558.094152785501
-31.2554240369727,19.2834526454504,303.388145515343,-59.1890383025219,24.5778018108891,556.36185576371
-31.5975434044696,19.7788844653928,307.310449845067,-57.7113023389118,24.2486476802751,554.627382028093
-31.9610722838813,20.244924362022,311.251000645961,-56.2520364006392,23.8824376658477,552.949818634345
-32.3481475713821,20.6768312769806,315.20743427907,-54.8266888547599,23.4790491707345,551.385273590568
