St1_Pelvis_X,St1_Pelvis_Y,St1_Pelvis_Z,St2_Pelvis_X,St2_Pelvis_Y,St2_Pelvis_Z,St1_Hip_X,St1_Hip_Y,St1_Hip_Z,St2_Hip_X,St2_Hip_Y,St2_Hip_Z,St1_Knee_X,St1_Knee_Y,St1_Knee_Z,St2_Knee_X,St2_Knee_Y,St2_Knee_Z,St1_Ankle_X,St1_Ankle_Y,St1_Ankle_Z,St2_Ankle_X,St2_Ankle_Y,St2_Ankle_Z
0.648194,0.165206,-0.02597,0.617118,-0.099755,0.013028,0.156963,-0.031015,-0.013465,0.136263,-0.03237,-0.016542,-0.003749,-0.015066,0.004329,0.003138,-0.016322,0.00414,0.011379,0.002273,-0.000823,0.010815,0.001347,-0.001191
0.649117,0.165061,-0.026083,0.613845,-0.099551,0.013224,0.156806,-0.030501,-0.013428,0.138294,-0.033135,-0.016926,-0.004263,-0.014759,0.004138,0.001879,-0.016833,0.004146,0.011332,0.002283,-0.000789,0.010902,0.001365,-0.00122
0.650204,0.164776,-0.026204,0.610293,-0.098511,0.013565,0.15664,-0.029929,-0.013383,0.14055,-0.033977,-0.017354,-0.004774,-0.014451,0.003939,0.000597,-0.017376,0.004149,0.011285,0.002293,-0.00076,0.01099,0.001381,-0.001256
0.651427,0.164348,-0.026336,0.606516,-0.096655,0.014024,0.15648,-0.029321,-0.013333,0.143032,-0.034892,-0.017823,-0.005284,-0.014151,0.003735,-0.000709,-0.017947,0.004147,0.01124,0.002301,-0.000737,0.011079,0.001395,-0.001298
0.652764,0.163805,-0.02648,0.602596,-0.094041,0.014565,0.15634,-0.028697,-0.013282,0.145735,-0.035873,-0.018329,-0.005794,-0.013866,0.003529,-0.002038,-0.01854,0.004141,0.011198,0.002309,-0.000721,0.011167,0.001407,-0.001346
0.654198,0.163202,-0.026636,0.598642,-0.090788,0.015151,0.156237,-0.028077,-0.013235,0.148642,-0.03691,-0.018868,-0.006306,-0.013603,0.003322,-0.003386,-0.019147,0.004128,0.011159,0.002315,-0.000711,0.01125,0.001416,-0.001397
0.655721,0.162613,-0.026798,0.594752,-0.087055,0.015742,0.156184,-0.027478,-0.013196,0.151729,-0.037986,-0.019432,-0.00682,-0.013367,0.003117,-0.00475,-0.019761,0.004108,0.011124,0.00232,-0.000709,0.011326,0.001422,-0.001451
0.657334,0.162117,-0.02696,0.591002,-0.08302,0.016311,0.156193,-0.026916,-0.013166,0.154963,-0.039084,-0.020012,-0.007338,-0.013164,0.002914,-0.006123,-0.02037,0.00408,0.011093,0.002323,-0.000715,0.011394,0.001426,-0.001507
0.659045,0.161776,-0.027114,0.587441,-0.078849,0.016839,0.156274,-0.026403,-0.013149,0.158303,-0.040184,-0.020597,-0.007862,-0.012997,0.002715,-0.007499,-0.020965,0.004043,0.011066,0.002324,-0.000728,0.011452,0.001426,-0.001563
0.660859,0.161619,-0.027252,0.584102,-0.074681,0.017318,0.156433,-0.025946,-0.013145,0.161704,-0.041264,-0.021177,-0.008392,-0.012868,0.002522,-0.008869,-0.021535,0.003996,0.011045,0.002323,-0.000748,0.011498,0.001424,-0.001618
0.662781,0.16165,-0.027368,0.581016,-0.070618,0.017744,0.156673,-0.025551,-0.013153,0.165116,-0.042301,-0.021739,-0.008928,-0.012778,0.002334,-0.010224,-0.022069,0.003939,0.011028,0.002321,-0.000776,0.011531,0.00142,-0.001671
0.664811,0.16185,-0.027459,0.578215,-0.066733,0.018113,0.156994,-0.025219,-0.013173,0.168488,-0.043273,-0.022272,-0.009472,-0.012727,0.002154,-0.011555,-0.022555,0.003871,0.011016,0.002316,-0.00081,0.01155,0.001415,-0.001721
0.666946,0.162195,-0.027524,0.575733,-0.063075,0.018413,0.157392,-0.024949,-0.013202,0.171771,-0.044156,-0.022765,-0.010024,-0.012712,0.00198,-0.012853,-0.022984,0.003793,0.011008,0.00231,-0.000849,0.011557,0.001409,-0.001765
0.669194,0.162659,-0.027561,0.573604,-0.059668,0.018627,0.157862,-0.024736,-0.013237,0.174917,-0.044928,-0.023205,-0.010584,-0.012731,0.001813,-0.014111,-0.023346,0.003703,0.011005,0.002302,-0.000894,0.011551,0.001402,-0.001802
0.671576,0.163223,-0.027574,0.571853,-0.056518,0.018737,0.158397,-0.024575,-0.013275,0.177885,-0.045568,-0.023584,-0.011152,-0.01278,0.001654,-0.015322,-0.023633,0.003603,0.011005,0.002292,-0.000943,0.011534,0.001397,-0.001832
0.674126,0.163875,-0.027567,0.570507,-0.053637,0.01872,0.158986,-0.024457,-0.013309,0.18064,-0.046057,-0.023892,-0.011729,-0.012855,0.001502,-0.016483,-0.023839,0.003493,0.011008,0.002281,-0.000996,0.011507,0.001393,-0.001853
0.676886,0.164616,-0.027547,0.569597,-0.051075,0.018554,0.159619,-0.024373,-0.013337,0.183154,-0.046381,-0.024122,-0.012315,-0.012952,0.001358,-0.01759,-0.023959,0.003375,0.011013,0.002268,-0.00105,0.011472,0.001392,-0.001864
0.679885,0.165444,-0.027522,0.569152,-0.04892,0.018221,0.160281,-0.024314,-0.013354,0.185408,-0.046529,-0.024268,-0.012909,-0.013063,0.001221,-0.018644,-0.023994,0.00325,0.01102,0.002255,-0.001105,0.011432,0.001394,-0.001864
0.683135,0.166358,-0.027498,0.569194,-0.047263,0.01771,0.16096,-0.024271,-0.013354,0.187397,-0.046499,-0.024328,-0.013509,-0.013185,0.001091,-0.019646,-0.023944,0.00312,0.011028,0.00224,-0.00116,0.011388,0.001399,-0.001853
0.686626,0.167344,-0.027483,0.569732,-0.046168,0.01702,0.161642,-0.024233,-0.013333,0.189126,-0.046294,-0.0243,-0.014116,-0.013312,0.000968,-0.020601,-0.023816,0.002989,0.011035,0.002226,-0.001213,0.011342,0.001408,-0.001831
0.690328,0.168385,-0.027487,0.57077,-0.045647,0.016157,0.162311,-0.024194,-0.013288,0.190613,-0.045923,-0.024188,-0.014725,-0.013438,0.000852,-0.021518,-0.023619,0.002858,0.011042,0.002211,-0.001264,0.011297,0.001422,-0.001797
0.694199,0.169456,-0.027519,0.572299,-0.045657,0.015138,0.162952,-0.024145,-0.013214,0.19189,-0.045405,-0.023996,-0.015336,-0.013558,0.000744,-0.022405,-0.023366,0.002732,0.011047,0.002197,-0.001311,0.011254,0.001439,-0.001752
0.698185,0.170529,-0.02759,0.574295,-0.046111,0.013988,0.163552,-0.02408,-0.013108,0.192999,-0.044761,-0.023732,-0.015943,-0.013668,0.000643,-0.023273,-0.023072,0.002614,0.01105,0.002183,-0.001353,0.011215,0.00146,-0.001698
0.702216,0.171574,-0.027706,0.576702,-0.046897,0.012739,0.164095,-0.023992,-0.012969,0.193987,-0.044016,-0.023404,-0.016543,-0.013761,0.00055,-0.024135,-0.022752,0.002505,0.011051,0.00217,-0.00139,0.011179,0.001484,-0.001634
0.706207,0.172556,-0.027869,0.579446,-0.047894,0.011429,0.164569,-0.023875,-0.012793,0.194908,-0.043196,-0.023021,-0.01713,-0.013835,0.000464,-0.025,-0.022424,0.00241,0.011048,0.002158,-0.001421,0.011149,0.001511,-0.001563
0.710057,0.173429,-0.028081,0.582451,-0.048978,0.0101,0.164961,-0.023725,-0.01258,0.195812,-0.042329,-0.022593,-0.017699,-0.013885,0.000385,-0.025878,-0.022103,0.00233,0.011041,0.002148,-0.001444,0.011124,0.00154,-0.001486
