St1_VL,St2_VL,St1_BF,St2_BF,St1_TA,St2_TA,St1_GAL,St2_GAL
-0.014615,-0.024071,-0.002126,-0.002938,-0.023265,-0.007716,-0.003308,0.003691
0.010536,0.022976,-0.003461,-0.003079,-0.015729,-0.006466,-0.001718,0.003834
-0.010728,0.028473,-0.000523,0.005285,-0.013283,-0.004057,-0.003252,0.000364
0.007627,0.008077,-0.002862,0.001519,-0.014845,0.028721,-0.010413,0.002243
0.00666,-0.005875,0.001473,0.004272,-0.053693,-0.000936,0.007698,-0.004015
0.007526,-0.004064,-0.005281,-0.004268,0.116472,0.006469,0.012576,0.005006
0.007734,-0.002739,-0.002006,0.003436,-0.130516,0.005422,-0.008912,-0.004063
-0.001544,0.011435,0.00395,-0.001189,0.090313,0.00532,0.005387,0.001969
0.026873,-0.026561,-0.000382,-0.006853,0.03377,-0.00317,-0.00405,0.000776
-0.013319,0.085541,-0.004544,-0.001245,-0.010125,-0.004976,-0.006673,0.007145
-0.040994,-0.023331,0.001923,0.007725,0.012863,-0.029401,0.004909,-0.005703
0.007681,-0.004254,-0.002357,0.005098,0.024158,0.114982,0.001187,0.011457
-0.022909,0.032691,0.002886,0.002539,-0.103649,0.000139,-0.002007,-0.009494
0.003492,0.043961,-0.003895,-0.005321,0.065751,0.001436,0.006874,-0.005118
0.010422,0.004952,-0.004012,-0.003136,0.156835,-0.019738,0.013057,-0.008411
0.049282,-0.074179,-0.012406,0.002116,-0.135727,-0.004524,-0.009239,-0.005205
0.00772,0.009756,0.019344,-0.003526,-0.05947,-0.008865,-0.006913,0.002303
-0.021211,0.032827,-0.000455,0.001833,0.150783,-0.005898,0.012066,0.01298
-0.009548,0.008401,-0.004536,-0.004051,-0.134744,-0.004855,-0.024058,0.019804
-0.016662,0.029469,0.00061,-0.002261,-0.012612,0.003437,-0.004284,0.000343
-0.021865,0.008099,0.000201,-0.000473,-0.049605,-0.001201,0.018226,-0.00463
0.006514,-0.028127,0.000115,0.002078,-0.078515,-0.003431,0.00086,-0.003276
0.050468,-0.004135,-0.000119,0.001836,-0.070184,-0.014255,-0.017727,-0.010574
0.037501,0.0077,-0.0002,0.005557,-0.398981,0.006102,-0.027511,0.006084
-0.09281,0.006135,0.003037,-0.000934,0.332213,0.010438,0.03336,0.002856
-0.001162,0.006834,-0.001759,-0.002087,0.064681,-0.000726,0.004028,0.001871
0.00426,0.033143,0.002894,0.001927,-0.053274,0.005196,-0.005835,-0.014523
0.018513,-0.037547,0.002544,0.00167,0.03584,-0.004537,0.018433,0.012767
0.021765,-0.014568,0.0043,-0.000616,-0.044819,-0.014543,-0.019671,-0.003112
